No,商品コード,商品名称,細分類コード,細分類名称,メーカーコード,メーカー名称,出現日,容量,年月,地区コード,地区名称,金額,数量,平均価格,金額／販売店千人,数量／販売店千人,数量／店,販売店率
3,4902105022122,日清　日清焼そばＵＦＯ　１２８ｇ,111203,カップ麺,4902105,日清食品,2002年04月01日,128,2023年06月,980,全国,15299174,98741,154.94,267.805,1.728,104.16,94.71%
3,4902105022122,日清　日清焼そばＵＦＯ　１２８ｇ,111203,カップ麺,4902105,日清食品,2002年04月01日,128,2023年07月,980,全国,22946796,154060,148.95,380.680,2.556,162.85,94.51%
3,4902105022122,日清　日清焼そばＵＦＯ　１２８ｇ,111203,カップ麺,4902105,日清食品,2002年04月01日,128,2023年08月,980,全国,31222710,218561,142.86,513.789,3.597,231.28,94.41%
3,4902105022122,日清　日清焼そばＵＦＯ　１２８ｇ,111203,カップ麺,4902105,日清食品,2002年04月01日,128,2023年09月,980,全国,20443194,137708,148.45,349.595,2.355,144.20,95.40%
3,4902105022122,日清　日清焼そばＵＦＯ　１２８ｇ,111203,カップ麺,4902105,日清食品,2002年04月01日,128,2023年10月,980,全国,19651511,137159,143.28,323.694,2.259,142.28,96.30%
3,4902105022122,日清　日清焼そばＵＦＯ　１２８ｇ,111203,カップ麺,4902105,日清食品,2002年04月01日,128,2023年11月,980,全国,18540497,126888,146.12,324.062,2.218,131.49,96.40%
3,4902105022122,日清　日清焼そばＵＦＯ　１２８ｇ,111203,カップ麺,4902105,日清食品,2002年04月01日,128,2023年12月,980,全国,37025935,295807,125.17,584.187,4.667,305.59,96.70%
4,4901990324595,マルちゃん　ごつ盛り　ソース焼そば　１７１ｇ,111203,カップ麺,4901990,東洋水産,2010年02月28日,171,2023年01月,980,全国,21125986,194575,108.58,398.680,3.672,214.29,90.71%
4,4901990324595,マルちゃん　ごつ盛り　ソース焼そば　１７１ｇ,111203,カップ麺,4901990,東洋水産,2010年02月28日,171,2023年02月,980,全国,21182565,195905,108.13,418.734,3.873,215.75,90.71%
4,4901990324595,マルちゃん　ごつ盛り　ソース焼そば　１７１ｇ,111203,カップ麺,4901990,東洋水産,2010年02月28日,171,2023年03月,980,全国,22913939,212112,108.03,402.134,3.723,229.06,92.51%
